PHONE_ID;ADDRESS;STATUS;LASTCALL;LOT_NUMB;COMPETITION_NUMB;NAME_SERVICEMAN
0;;Разряд батарейки;2018-05-29 08:36:55;0;0;Монтеры
1;г Благовещенск ул Пионерская 40,.;Таксофон отзвонился;2016-06-26 19:55:59;.;.;тест
3;676572 Амурская обл Селемджинский р-н с Селемджинск 72985d57-2d75-4785-935c-e50b0bb3fd87  Селемджинская 1;Таксофон отзвонился;2018-01-22 10:18:46;2;289;Селемджинский Район
4;676711 Амурская обл Бурейский р-н с Виноградовка 396b384d-70af-4f3b-a279-b47a1b483aa5 Школьный 13 ;Таксофон отзвонился;2018-05-29 01:10:54;1;289;Райчихинск
5;г  Благовещенск ул  Пионерская 40;Таксофон отзвонился;2018-02-16 08:09:13;.;.;тест
6;г  Благовещенск ул  Пионерская 40;Разряд батарейки;2018-01-16 10:25:44;.;.;тест
10;Амурская обл Серышевский р-н с Верное 8725de76-5647-4573-8455-78eb5c8145ef  Партизанская 25;Таксофон отзвонился;2018-05-29 01:00:59;2;289;Серышевский Район
11;Амурская обл Серышевский р-н с Борисполь 78832F5E-9D4F-4D83-9E34-913056DC9C47  ул Совеская 36;в ремонте;2017-11-14 13:05:41;2;289;Серышевский Район
12;Амурская обл Серышевский р-н с Соколовка e0de6fe1-67c4-4513-894c-dacc0d5a1a6c ул Центральная 9 ДК;Таксофон отзвонился;2018-05-29 01:11:22;2;289;Серышевский Район
13;676355 Амурская Область Серышевский М Р С П Широкологский Сельсове с Воскресеновка B9E8D83E-6010-46C9-975D-66B67AC777AF ул Центральная 15;Таксофон отзвонился;2018-05-29 01:16:27;2;289;Серышевский Район
14;Амурская обл Селемджинский р-н с Норск 577c2d84-0420-49ae-958b-b974c049a7f0  ул Первомайская 22;Таксофон отзвонился;2018-03-03 12:56:14;2;289;Селемджинский Район
15;Амурская обл Селемджинский р-н пгт Февральск 57bcc833-72d5-4ae2-9d6a-580bab0ead18  ул Енисейская 3;Таксофон отзвонился;2018-03-29 13:37:31;2;289;Селемджинский Район
16;Амурская обл Селемджинский р-н с Бысса d7f47d92-08db-44ad-8ded-19cb3707ab94  ул Бысса 1 ;Таксофон отзвонился;2018-01-14 07:29:16;2;289;Селемджинский Район
17;676582 Амурская обл Селемджинский р-н с Февральское dc9ce329-6d86-46d2-bacf-f06b08dc6b5d Февральская 48;Таксофон отзвонился;2018-04-05 21:15:49;2;289;Селемджинский Район
18;Амурская обл Селемджинский р-н с Экимчан  68f52830-2387-4b81-80eb-d1fcf9808992 ул Центральная 33;Таксофон отзвонился;2018-05-29 05:10:59;2;289;Селемджинский Район
19;Амурская обл Селемджинский р-н пгт Златоустовск b4786ab0-2cf2-40d0-8c32-75d3e4f61bcb ул Советская 26;Таксофон отзвонился;2018-05-15 13:17:23;2;289;Селемджинский Район
20;Амурская обл Селемджинский р-н пгт Токур 1561dac6-48c5-495c-ab44-f1d897f720d6 ул Шабанова 13;Таксофон отзвонился;2018-05-29 05:21:05;2;289;Селемджинский Район
21;Амурская обл Селемджинский р-н с Коболдо 70b9d1b0-0278-4f26-b4c3-a5f9615d1f01 ул  Дружбы 16;Разряд батарейки;2018-05-29 05:25:53;2;289;Селемджинский Район
22; Амурская обл Селемджинский р-н пгт Стойба  9A0261A0-9A9D-4A42-AE91-FD7CE38A0B05  ул Майская 58;Таксофон отзвонился;2017-12-19 16:53:08;2;289;Селемджинский Район
