длительность сеанса -  5  мин

	СЕАНСЫ ВЫХОДА ТАКСОФОНОВ НА СВЯЗЬ С ЦУТ


   N 	  ID 	NЛП 	      сеанс 1      	     сеанс 2       	     сеанс 3       	      сеанс 4

    0	    0	 1	        сеанса нет 	        сеанса нет 	        сеанса нет 	        сеанса нет 
    1	    1	 0	 1:05:00 -  1:10:00	 9:05:00 -  9:10:00	17:05:00 - 17:10:00	        сеанса нет 
    2	    3	 2	 6:55:00 -  7:00:00	14:55:00 - 15:00:00	22:55:00 - 23:00:00	        сеанса нет 
    3	    4	 0	 1:10:00 -  1:15:00	 9:10:00 -  9:15:00	17:10:00 - 17:15:00	        сеанса нет 
    4	    5	 4	 8:05:00 -  8:10:00	        сеанса нет 	        сеанса нет 	        сеанса нет 
    5	    6	 2	 1:00:00 -  1:05:00	 9:00:00 -  9:05:00	17:00:00 - 17:05:00	        сеанса нет 
    6	   10	 1	 1:00:00 -  1:05:00	 9:00:00 -  9:05:00	17:00:00 - 17:05:00	        сеанса нет 
    7	   11	 1	 1:05:00 -  1:10:00	 9:05:00 -  9:10:00	17:05:00 - 17:10:00	        сеанса нет 
    8	   12	 1	 1:10:00 -  1:15:00	 9:10:00 -  9:15:00	17:10:00 - 17:15:00	        сеанса нет 
    9	   13	 1	 1:15:00 -  1:20:00	 9:15:00 -  9:20:00	17:15:00 - 17:20:00	        сеанса нет 
   10	   14	 2	 4:55:00 -  5:00:00	12:55:00 - 13:00:00	20:55:00 - 21:00:00	        сеанса нет 
   11	   15	 2	 5:00:00 -  5:05:00	13:00:00 - 13:05:00	21:00:00 - 21:05:00	        сеанса нет 
   12	   16	 2	 1:05:00 -  1:10:00	 9:05:00 -  9:10:00	17:05:00 - 17:10:00	        сеанса нет 
   13	   17	 2	 5:05:00 -  5:10:00	14:05:00 - 14:10:00	21:05:00 - 21:10:00	        сеанса нет 
   14	   18	 2	 5:10:00 -  5:15:00	13:10:00 - 13:15:00	21:10:00 - 21:15:00	        сеанса нет 
   15	   19	 2	 5:15:00 -  5:20:00	13:15:00 - 13:20:00	21:15:00 - 21:20:00	        сеанса нет 
   16	   20	 2	 5:20:00 -  5:25:00	14:20:00 - 14:25:00	21:20:00 - 21:25:00	        сеанса нет 
   17	   21	 2	 5:25:00 -  5:30:00	13:25:00 - 13:30:00	21:25:00 - 21:30:00	        сеанса нет 
   18	   22	 2	 5:30:00 -  5:35:00	13:30:00 - 13:35:00	21:30:00 - 21:35:00	        сеанса нет 
   19	   23	 2	 5:35:00 -  5:40:00	14:35:00 - 14:40:00	21:35:00 - 21:40:00	        сеанса нет 
   20	   24	 2	 5:40:00 -  5:45:00	13:40:00 - 13:45:00	21:40:00 - 21:45:00	        сеанса нет 
   21	   26	 2	 1:10:00 -  1:15:00	 9:10:00 -  9:15:00	17:10:00 - 17:15:00	        сеанса нет 
   22	   27	 2	 1:15:00 -  1:20:00	 9:15:00 -  9:20:00	17:15:00 - 17:20:00	        сеанса нет 
   23	   28	 2	 1:20:00 -  1:25:00	 9:20:00 -  9:25:00	17:20:00 - 17:25:00	        сеанса нет 
   24	   29	 2	 1:25:00 -  1:30:00	 9:25:00 -  9:30:00	17:25:00 - 17:30:00	        сеанса нет 
   25	   30	 2	 1:30:00 -  1:35:00	 9:30:00 -  9:35:00	17:30:00 - 17:35:00	        сеанса нет 
   26	   31	 2	 1:35:00 -  1:40:00	 9:35:00 -  9:40:00	17:35:00 - 17:40:00	        сеанса нет 
